project_type	mag-wgs
keyword	STANDARD_DRAFT
bioproject	PRJDBxxxx
biosample	SAMDxxxxxxxx
sra	DRRxxxxxx
submitter	Tanizawa,Y.
consrtm	
contact	Yasuhiro Tanizawa
email	dfast@nig.ac.jp
url	https://dfast.nig.ac.jp/
institute	National Institute of Genetics
department	Genome Informatics Laboratory
country	Japan
state	Shizuoka
city	Mishima
street	Yata 1111
zip	411-8540
reference	Draft MAG recovered from soil metagenome.
author	Tanizawa,Y.
ref_consrtm	
status	Unpublished
journal	
volume	
start_page	
end_page	
hold_date	
comment	These metadata are examples for MAG-WGS submission using DDBJ MSS.
assembly_method	metaFlye v. 2.9
sequencing_technology	Nanopore
genome_coverage	50x
organism	Candidatus Bacterium sp. MAG-002
isolate	MAG-002
metagenome_source	soil metagenome
environmental_sample	TRUE
geo_loc_name	Japan:Shizuoka
collection_date	2024-06-01
isolation_source	agricultural soil
locus_tag_prefix	MAG002
